GMAT,GPA,UNIVERSITY,MAJOR,JOBTITLE,GENDER,RACE,AGE,INTERNATIONAL,ODDS
750,3.8,Tier 1,,,,,,,Harvard Business School: 85% Stanford: 80% Wharton: 90% Tuck: 95% Kellogg: 95%
720,3.1,Tier 1,,,,,,,Harvard Business School: 10%+ Stanford: 10% Wharton: Less than 10% Columbia: 35% if early decision Kellogg: 30% Duke: 55%+
720,4.0,Tier 3,,,,,,,Harvard Business School: 50% to 80% Wharton: 50% to 90% Chicago Booth: 75% to 95% Dartmouth: 65% to 85% Duke: 95%
690,3.4,Tier 3,,,,,,,Harvard Business School: Less than 50% Stanford: Less than 40% Wharton: Less than 50% Chicago Booth: 60% Columbia: 60%+ if early decision Kellogg: 60%
740,3.5,Tier 3,,,,,,,Harvard Business School: 50% Wharton: 65+% Columbia: 70% if early admission Tuck: 80% Chicago Booth: 80%
740,3.9,Tier 3,,,,,,,Harvard Business School: 70%+ Wharton: 80%+ Columbia: 80%+ Tuck: 85%+ Chicago Booth: 85%+
630,3.9,,,,,,,,Harvard Business School: Less than 20% Stanford: Less than 10% Wharton: Less than 15% Michigan: 30% to 50% Duke: 40% to 50% Kellogg: 30% to 45%
740,2.89,Tier 2,,,,,,,"Sandy’s Analysis: “Harvard Business School takes pols, but usually from the White House or the Treasury Department, and those kids usually have stellar records at Ivies and superb schmoozing abilities. Your chances at other schools you note depend on what your actual role is in the state legislature, what state (is it a state in which the school is located?), and who can push buttons for you. If none of that, GMAT might neutralize GPA and with sharp execution on your applications, you stand a chance at several of these schools.”"
660,3.7,Tier 3,,,,,,,"Harvard Business School: 20% or less Columbia: 40% to 55%, if you apply early admission New York University: 55% to 70% Chicago Booth: 40% to 60% Michigan: 40% to 50%"
710,3.93,Tier 3,,,,,,,Harvard: 35% to 50% Stanford: Less than 35% Wharton: Less than 50% Kellogg: 50% to 60% Tuck: 50%
720,3.3,,,,,,,,Harvard Business School: Less than 40% Stanford: Less than 40% Wharton: 35% to 50% Columbia: 50% to 65% Kellogg: 50% to 65%
750,3.49,Tier 3,Engineering,,,,,,Harvard Business School: Less than 30% Stanford: Less than 30% CEIBS: 60% to 70% INSEAD: Better than 50% Brigham Young: 60% to 70%
750,3.74,Tier 2,,,,,,,Harvard Business School: Better than 50% Stanford: Better than 50% Wharton (Lauder program): 60% Chicago: 70% to 80% Kellogg: 60% to 80%
660,3.5,Tier 3,,,,,,,Rejected by Harvard Rejected by Stanford Rejected by Wharton Waitlisted at Dartmouth Tuck Full ride at Virginia Darden
700,3.25,Tier 3,Engineering,,,Asian,18,,"Sandy’s Analysis: The dirty secret about military admissions to places like Harvard/Stanford/Wharton is that GPA is a key factor and that war stories don’t payoff as much as you think they should. Plus, lots of military applicants have shooting war stories these days as a result of ground deployments in Iraq and Afghanistan. The big payoffs for military applicants, as far as schools are concerned, is not work stories per se, but working with others, both enlisted personnel and locals. ‘Helping my troops get along with the tribal leaders and setting up a school for girls, etc.’ is a real solid HBS  (and other schools) essay."
620,3.0,Tier 3,,,,,,,"Sandy’s Analysis: Well, Captain, I like you. But like I said to the Naval officer above, your low GPA will be a deal breaker for Harvard, Stanford and Wharton, and powerful combat deployments do not, without more, change the balance. And I suggest you format your combat experiences with suggestions above, ie. working with natives, leading different groups in different ways."
670,3.3,Tier 3,,,,,,,"Sandy’s Analysis: Hmmmmmm. Deeply mixed bag here. A low undergrad GPA is, like the poor, always with us. The grad school GPA doesn’t entirely cure that because most schools know that grad school grades are mostly As and B+s. And your majors, journalism and communications, are not known to be ultra demanding in the grading department. Grad school grades could help if you took rock solid stuff like stats, micro econ, etc. But my guess is that did not happen."
