,Unnamed: 0,index,GMAT,GPA,Harvard,STEM_MAJOR,UNDER_REP,IVY_MIT_STANFORD_UNDERGRAD,FEMALE
10,10,10,660.0,3.4,10.0,1.0,1.0,0.0,0.0
11,11,11,700.0,3.9,50.0,0.0,0.0,0.0,1.0
12,12,12,700.0,3.3,20.0,1.0,1.0,0.0,1.0
13,13,13,710.0,3.97,25.0,0.0,0.0,0.0,0.0
15,15,15,690.0,3.6,27.5,1.0,0.0,0.0,1.0
16,16,16,660.0,3.75,25.0,0.0,0.0,0.0,1.0
22,22,22,720.0,3.4,10.0,1.0,0.0,0.0,0.0
23,23,23,670.0,3.95,30.0,0.0,0.0,0.0,0.0
24,24,24,630.0,3.43,10.0,1.0,0.0,0.0,0.0
26,26,26,690.0,3.3,10.0,1.0,0.0,0.0,0.0
29,29,29,720.0,3.6,35.0,0.0,1.0,0.0,0.0
30,30,30,710.0,3.4,20.0,0.0,0.0,0.0,1.0
32,32,32,620.0,3.53,42.5,0.0,1.0,1.0,0.0
36,36,36,700.0,3.6,32.5,0.0,1.0,0.0,0.0
38,38,38,680.0,3.3,20.0,0.0,0.0,0.0,0.0
40,40,40,700.0,3.3,25.0,1.0,0.0,0.0,1.0
41,41,41,700.0,3.64,30.0,0.0,0.0,0.0,0.0
44,44,44,720.0,3.3,35.0,1.0,0.0,0.0,0.0
51,51,51,710.0,3.6,45.0,1.0,1.0,0.0,0.0
52,52,52,700.0,7.8,27.5,0.0,0.0,0.0,1.0
54,54,54,690.0,3.85,40.0,0.0,0.0,0.0,0.0
55,55,55,700.0,3.45,15.0,0.0,0.0,0.0,0.0
56,56,56,780.0,3.4,30.0,1.0,0.0,0.0,0.0
57,57,57,690.0,2.96,25.0,0.0,0.0,0.0,0.0
58,58,58,730.0,3.47,30.0,0.0,1.0,1.0,0.0
59,59,59,700.0,3.33,25.0,0.0,0.0,0.0,0.0
60,60,60,720.0,3.8,40.0,0.0,0.0,0.0,1.0
61,61,61,760.0,3.5,40.0,1.0,0.0,0.0,0.0
65,65,65,740.0,4.0,22.5,0.0,0.0,0.0,1.0
67,67,67,700.0,3.67,20.0,0.0,0.0,0.0,1.0
68,68,68,710.0,3.69,35.0,0.0,0.0,1.0,1.0
70,70,70,700.0,3.95,25.0,0.0,0.0,0.0,1.0
76,76,76,720.0,3.6,27.5,1.0,0.0,0.0,0.0
78,78,78,700.0,3.33,30.0,0.0,1.0,0.0,0.0
80,80,80,650.0,3.5,17.5,0.0,0.0,0.0,0.0
82,82,82,710.0,78.9,40.0,1.0,1.0,0.0,0.0
85,85,85,760.0,3.6,25.0,0.0,0.0,0.0,0.0
86,86,86,700.0,3.4,20.0,0.0,0.0,0.0,0.0
88,88,88,740.0,3.78,40.0,0.0,1.0,0.0,0.0
93,93,93,740.0,3.6,35.0,1.0,0.0,1.0,1.0
97,97,97,750.0,3.18,27.5,0.0,0.0,0.0,1.0
99,99,99,730.0,3.7,35.0,1.0,0.0,0.0,1.0
104,104,104,700.0,3.74,30.0,0.0,0.0,0.0,0.0
105,105,105,740.0,3.2,35.0,0.0,0.0,0.0,1.0
112,112,112,770.0,3.5,40.0,1.0,0.0,0.0,0.0
114,114,114,710.0,3.8,22.5,0.0,0.0,0.0,0.0
159,159,44,750.0,3.7,50.0,1.0,0.0,0.0,0.0
160,160,45,670.0,3.4,30.0,1.0,0.0,0.0,1.0
179,179,64,660.0,3.4,10.0,0.0,1.0,0.0,0.0
181,181,66,700.0,3.3,20.0,1.0,0.0,0.0,0.0
182,182,67,710.0,3.97,25.0,0.0,0.0,0.0,0.0
184,184,69,690.0,3.6,27.5,1.0,0.0,0.0,1.0
189,189,74,720.0,3.8,30.0,0.0,0.0,1.0,0.0
190,190,75,660.0,3.75,25.0,0.0,0.0,0.0,1.0
194,194,79,750.0,2.9,-15.0,1.0,1.0,0.0,0.0
200,200,85,710.0,3.33,10.0,1.0,0.0,0.0,0.0
203,203,88,730.0,3.88,15.0,0.0,0.0,0.0,0.0
204,204,89,710.0,3.4,10.0,0.0,0.0,0.0,1.0
207,207,92,720.0,3.8,-10.0,0.0,0.0,0.0,0.0
