,GMAT,GPA,AGE,Stanford,Wharton,Tuck,Kellogg,Columbia,Duke,Michigan,Harvard,INSEAD,Booth,Yale,NYU,Sloan,Berkeley,Cornell,UCLA,UNIVERSITY_Tier 1,UNIVERSITY_Tier 2,UNIVERSITY_Tier 3,MAJOR_Business,MAJOR_Economics,MAJOR_Engineering,MAJOR_International Studies,GENDER_Female,GENDER_MALE,RACE_Asian,RACE_Black
0,750.0,3.8,,80.0,90.0,95.0,95.0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
1,720.0,3.1,,,10.0,,,35.0,55.0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
2,720.0,4.0,,,70.0,75.0,,,95.0,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
3,690.0,3.4,,40.0,50.0,,,60.0,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
4,740.0,3.5,,,65.0,,,70.0,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
5,740.0,3.9,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
6,630.0,3.9,,10.0,15.0,,37.5,,45.0,40.0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
7,740.0,2.89,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0
8,660.0,3.7,,,,,,,,45.0,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
9,710.0,3.93,,35.0,50.0,50.0,55.0,,,,42.5,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
10,720.0,3.3,,40.0,42.5,,57.5,57.5,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
11,750.0,3.49,,30.0,,,,,,,,50.0,,,,,,,,0,0,1,0,0,1,0,0,0,0,0
12,750.0,3.74,,50.0,,,70.0,,,,,,75.0,,,,,,,0,1,0,0,0,0,0,0,0,0,0
13,660.0,3.5,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
14,700.0,3.25,18.0,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,1,0
15,620.0,3.0,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
16,670.0,3.3,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
17,740.0,3.2,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
18,700.0,3.4,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0
19,670.0,3.4,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0
20,720.0,3.8,26.0,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0
21,700.0,3.45,28.0,30.0,,,40.0,30.0,,,,,40.0,40.0,50.0,,,,,0,0,1,1,0,0,0,0,0,1,0
22,700.0,2.5,,,47.5,,,50.0,,,,,50.0,,50.0,40.0,,,,0,0,1,0,0,1,0,0,0,0,0
23,750.0,3.2,28.0,,,,35.0,,45.0,45.0,,,,,,,20.0,40.0,,1,0,0,0,1,0,0,0,0,1,0
24,720.0,3.2,,10.0,20.0,20.0,,30.0,30.0,,,,,30.0,45.0,,20.0,,,0,0,1,1,0,0,0,0,0,0,0
25,660.0,3.86,,,20.0,50.0,,,,,,,50.0,50.0,,,,50.0,,0,0,1,1,0,0,0,0,0,0,0
26,700.0,3.9,,10.0,,,40.0,40.0,,,,,,,50.0,,50.0,,,0,0,1,0,0,0,0,0,0,0,0
27,720.0,3.7,,40.0,60.0,,65.0,,,,40.0,,,65.0,,,,,,0,0,1,0,1,0,0,0,0,0,0
28,700.0,3.4,,,,,,,,,,,45.0,,,,,,,1,0,0,0,0,0,1,0,0,0,0
29,680.0,3.4,,,,50.0,50.0,50.0,50.0,50.0,,,,,55.0,,,,,0,0,1,0,0,0,0,0,0,0,0
30,700.0,3.8,,42.5,65.0,,,,,,,,75.0,,,,,,,1,0,0,0,0,0,0,0,0,0,0
31,680.0,3.96,,25.0,,,,50.0,,,,,,,,,50.0,,,0,0,1,0,0,0,0,0,0,0,0
32,780.0,3.71,24.0,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,1,0
33,750.0,3.9,23.0,,60.0,70.0,,,,,,,60.0,,,,,,,0,0,1,1,0,0,0,0,0,1,0
34,720.0,3.9,,35.0,50.0,,,50.0,60.0,,,,,50.0,,,60.0,,65.0,0,0,1,0,1,0,0,0,0,0,0
35,750.0,3.67,24.0,,45.0,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0
36,750.0,4.0,80.0,10.0,-20.0,,-30.0,-20.0,,,,,,,,,,30.0,,0,0,1,0,0,0,0,0,0,1,0
37,690.0,3.8,23.0,,,40.0,40.0,,50.0,,,,,40.0,,,40.0,,,0,0,1,0,0,0,0,0,0,1,0
38,700.0,3.8,22.0,,60.0,,,60.0,70.0,70.0,,,,,,,,,,0,0,1,0,0,1,0,0,0,1,0
39,650.0,3.2,,25.0,37.5,50.0,,45.0,,,32.5,,,50.0,,,50.0,,,0,0,1,0,1,0,0,0,0,0,0
