,index,GMAT,GPA,Stanford,Columbia,Kellogg,Booth,Yale,NYU,Tuck,Cornell,Berkeley,Wharton,UCLA,Duke,INSEAD,Harvard,Michigan,Sloan,STEM_MAJOR,UNDER_REP,IVY_MIT_STANFORD_UNDERGRAD,FEMALE
0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,,
1,1,,,30.0,30.0,40.0,40.0,40.0,50.0,,,,,,,,,,,0.0,0.0,,
2,2,700.0,3.45,,,,,10.0,10.0,,10.0,,,,,,,,,0.0,0.0,0.0,
3,3,680.0,3.96,25.0,50.0,,,,65.0,,,50.0,,,,,,,,0.0,0.0,0.0,
4,4,,,,,,,,,,,,,,,,,,,0.0,0.0,,
5,5,700.0,3.0,,-30.0,25.0,25.0,,,20.0,,,-20.0,,30.0,,,,,0.0,0.0,0.0,
6,6,680.0,2.6,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
7,7,690.0,3.4,,45.0,50.0,,50.0,,,,40.0,32.5,,55.0,,,,,0.0,0.0,0.0,1.0
8,8,690.0,3.5,20.0,35.0,35.0,,,42.5,,,,,45.0,,,,,,0.0,0.0,0.0,0.0
9,9,570.0,3.9,20.0,,,,,,,,,25.0,,,,25.0,,,0.0,0.0,0.0,
10,10,660.0,3.4,,,20.0,,,,,,,10.0,,30.0,,10.0,30.0,,1.0,1.0,0.0,0.0
11,11,700.0,3.9,50.0,,,,,,,,,60.0,,,,50.0,,,0.0,0.0,0.0,1.0
12,12,700.0,3.3,15.0,,,,30.0,,25.0,50.0,,,,,,20.0,,25.0,1.0,1.0,0.0,1.0
13,13,710.0,3.97,,,,40.0,,,40.0,,,35.0,,50.0,,25.0,,,0.0,0.0,0.0,0.0
14,14,650.0,3.4,15.0,35.0,35.0,35.0,,,,,,25.0,,,,20.0,,,0.0,0.0,0.0,
15,15,690.0,3.6,17.5,,,,50.0,,,,50.0,35.0,,,,27.5,,,1.0,0.0,0.0,1.0
16,16,660.0,3.75,15.0,35.0,,,,,30.0,,,30.0,,42.5,,25.0,,,0.0,0.0,0.0,1.0
17,17,740.0,3.6,20.0,,45.0,50.0,,,,,,,,,,,,35.0,0.0,0.0,1.0,1.0
18,18,660.0,3.4,,,25.0,,,,,,,,25.0,,,,,,0.0,0.0,0.0,0.0
19,19,,3.9,30.0,,,,,,,,,,,50.0,,30.0,,45.0,0.0,0.0,0.0,
20,20,,3.89,,40.0,45.0,,45.0,45.0,,,,,,50.0,,,,,0.0,0.0,0.0,0.0
21,21,640.0,,10.0,,45.0,,,,40.0,,,35.0,,,40.0,25.0,,,0.0,0.0,0.0,
22,22,720.0,3.4,10.0,25.0,30.0,30.0,,,,,,32.5,,,,10.0,,30.0,1.0,0.0,0.0,0.0
23,23,670.0,3.95,20.0,37.5,45.0,50.0,,,50.0,,,,,,,30.0,,,0.0,0.0,0.0,0.0
24,24,630.0,3.43,10.0,,,20.0,,25.0,20.0,,,20.0,25.0,40.0,,10.0,,,1.0,0.0,0.0,0.0
25,25,700.0,3.25,,40.0,32.5,32.5,,30.0,,,,25.0,,42.5,,,,,0.0,0.0,0.0,
26,26,690.0,3.3,,,,,30.0,,25.0,,,,,35.0,,10.0,35.0,,1.0,0.0,0.0,0.0
27,27,640.0,3.4,,,,15.0,,,,20.0,10.0,,,20.0,,,20.0,10.0,0.0,0.0,0.0,0.0
28,28,,3.87,27.5,,50.0,50.0,,,,,,50.0,,,,40.0,,50.0,1.0,0.0,0.0,0.0
29,29,720.0,3.6,,,,50.0,,,50.0,,50.0,,,,,35.0,,,0.0,1.0,0.0,0.0
30,30,710.0,3.4,15.0,45.0,,,,,,,40.0,,,,,20.0,,35.0,0.0,0.0,0.0,1.0
31,31,,3.1,5.0,,20.0,20.0,20.0,,,,,,,,,10.0,,,0.0,0.0,0.0,
32,32,620.0,3.53,25.0,45.0,,,50.0,,45.0,,40.0,40.0,,,,42.5,,,0.0,1.0,1.0,0.0
33,33,700.0,3.9,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0
34,34,,3.5,,,37.5,35.0,35.0,,,,,,35.0,40.0,,,,,0.0,0.0,0.0,1.0
35,35,700.0,3.7,10.0,37.5,,,,,,,,30.0,,,35.0,12.5,,,0.0,0.0,1.0,
36,36,700.0,3.6,20.0,,40.0,,,,,,,37.5,,,,32.5,,,0.0,1.0,0.0,0.0
